,date,au_price,au_open,au_high,au_low,au_change_percent
1280,2014-12-22,"1,195.95","1,197.95","1,202.10","1,193.30",-0.20%
1281,2014-12-19,"1,198.40","1,187.95","1,213.55","1,187.90",0.82%
1282,2014-12-18,"1,188.70","1,196.19","1,203.40","1,183.73",-0.66%
1283,2014-12-17,"1,196.60","1,192.20","1,221.79","1,188.41",0.34%
1284,2014-12-16,"1,192.60","1,221.87","1,224.24","1,190.59",-2.45%
1285,2014-12-15,"1,222.60","1,227.61","1,228.38","1,215.60",-0.44%
1286,2014-12-12,"1,227.95","1,226.35","1,233.20","1,215.90",0.10%
1287,2014-12-11,"1,226.75","1,230.38","1,238.25","1,224.73",-0.33%
1288,2014-12-10,"1,230.85","1,203.19","1,238.55","1,199.00",2.30%
1289,2014-12-09,"1,203.20","1,192.69","1,208.59","1,186.91",0.94%
1290,2014-12-08,"1,192.05","1,205.30","1,208.20","1,186.10",-1.14%
1291,2014-12-05,"1,205.78","1,209.25","1,213.70","1,201.07",-0.32%
1292,2014-12-04,"1,209.64","1,198.56","1,214.95","1,194.20",0.89%
1293,2014-12-03,"1,199.01","1,210.29","1,213.05","1,191.86",-0.98%
1294,2014-12-02,"1,210.90","1,166.59","1,221.46","1,142.91",3.73%
1295,2014-12-01,"1,167.35","1,190.39","1,191.56","1,165.04",-2.05%
1296,2014-11-28,"1,191.75","1,197.70","1,200.10","1,185.45",-0.51%
1297,2014-11-27,"1,197.90","1,200.65","1,202.61","1,194.71",-0.27%
1298,2014-11-26,"1,201.19","1,197.05","1,203.40","1,190.30",0.32%
1299,2014-11-25,"1,197.40","1,201.23","1,204.24","1,192.55",-0.33%
1300,2014-11-24,"1,201.40","1,193.47","1,208.01","1,186.64",0.64%
1301,2014-11-21,"1,193.75","1,183.05","1,197.31","1,176.56",0.88%
1302,2014-11-20,"1,183.30","1,197.10","1,202.77","1,175.50",-1.19%
1303,2014-11-19,"1,197.55","1,186.12","1,205.00","1,183.00",0.93%
1304,2014-11-18,"1,186.55","1,188.44","1,194.26","1,181.31",-0.14%
1305,2014-11-17,"1,188.25","1,161.69","1,193.74","1,146.64",2.26%
1306,2014-11-14,"1,161.96","1,160.45","1,168.12","1,153.86",0.09%
1307,2014-11-13,"1,160.92","1,164.20","1,170.37","1,157.04",-0.33%
1308,2014-11-12,"1,164.80","1,150.25","1,173.60","1,145.92",1.23%
1309,2014-11-11,"1,150.60","1,178.94","1,179.41","1,146.98",-2.21%
1310,2014-11-10,"1,176.65","1,140.80","1,178.99","1,131.85",3.11%
1311,2014-11-07,"1,141.20","1,141.15","1,149.70","1,137.80",-0.02%
1312,2014-11-06,"1,141.40","1,167.89","1,169.85","1,137.40",-2.30%
1313,2014-11-05,"1,168.30","1,165.15","1,174.30","1,163.60",0.25%
1314,2014-11-04,"1,165.35","1,173.29","1,174.17","1,161.70",-0.77%
1315,2014-11-03,"1,174.42","1,198.41","1,203.30","1,161.25",-2.04%
1316,2014-10-31,"1,198.90","1,211.24","1,216.76","1,195.70",-1.06%
1317,2014-10-30,"1,211.80","1,227.95","1,230.86","1,208.26",-1.35%
1318,2014-10-29,"1,228.40","1,225.06","1,235.81","1,222.20",0.24%
1319,2014-10-28,"1,225.40","1,231.24","1,232.26","1,224.80",-0.49%
1320,2014-10-27,"1,231.46","1,232.09","1,234.70","1,228.60",-0.06%
1321,2014-10-24,"1,232.15","1,240.59","1,244.96","1,226.17",-0.72%
1322,2014-10-23,"1,241.03","1,249.09","1,250.08","1,240.18",-0.66%
1323,2014-10-22,"1,249.30","1,246.59","1,255.60","1,245.00",0.22%
1324,2014-10-21,"1,246.60","1,238.04","1,248.94","1,234.20",0.68%
1325,2014-10-20,"1,238.19","1,239.19","1,242.30","1,231.49",-0.07%
1326,2014-10-17,"1,239.10","1,241.27","1,245.60","1,235.35",-0.16%
1327,2014-10-16,"1,241.07","1,233.15","1,249.80","1,221.67",0.67%
1328,2014-10-15,"1,232.75","1,236.68","1,238.30","1,230.85",-0.36%
